Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (primary)	Mass	Annotation	Reviewed	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs
B1XB16	HCAB_ECODH	3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)	hcaB ECDH10B_2708	Escherichia coli (strain K12 / DH10B)	270	hcaB	28500	3.0	reviewed	3-phenylpropionate catabolic process [GO:0019380]		2,3-dihydroxy-2,3-dihydro-phenylpropionate dehydrogenase activity [GO:0018498]; 3-phenylpropionate catabolic process [GO:0019380]	2,3-dihydroxy-2,3-dihydro-phenylpropionate dehydrogenase activity [GO:0018498]	GO:0018498; GO:0019380
B1XB17	HCAD_ECODH	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component (EC 1.18.1.3)	hcaD ECDH10B_2709	Escherichia coli (strain K12 / DH10B)	400	hcaD	43978	3.0	reviewed	3-phenylpropionate catabolic process [GO:0019380]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; 3-phenylpropionate dioxygenase activity [GO:0008695]; ferredoxin-NAD+ reductase activity [GO:0008860]; oxidoreductase activity, acting on NAD(P)H [GO:0016651]; 3-phenylpropionate catabolic process [GO:0019380]	3-phenylpropionate dioxygenase activity [GO:0008695]; ferredoxin-NAD+ reductase activity [GO:0008860]; oxidoreductase activity, acting on NAD(P)H [GO:0016651]	GO:0005737; GO:0008695; GO:0008860; GO:0016651; GO:0019380
B1XB26	GLYA_ECODH	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	glyA ECDH10B_2718	Escherichia coli (strain K12 / DH10B)	417	glyA	45317	3.0	reviewed	glycine biosynthetic process from serine [GO:0019264]; tetrahydrofolate interconversion [GO:0035999]	cytosol [GO:0005829]	cytosol [GO:0005829]; glycine hydroxymethyltransferase activity [GO:0004372]; pyridoxal phosphate binding [GO:0030170]; glycine biosynthetic process from serine [GO:0019264]; tetrahydrofolate interconversion [GO:0035999]	glycine hydroxymethyltransferase activity [GO:0004372]; pyridoxal phosphate binding [GO:0030170]	GO:0004372; GO:0005829; GO:0019264; GO:0030170; GO:0035999
B1XB33	MLTF_ECODH	Membrane-bound lytic murein transglycosylase F (EC 4.2.2.n1) (Murein lyase F)	mltF ECDH10B_2726	Escherichia coli (strain K12 / DH10B)	518	mltF	58302	3.0	reviewed	cell wall macromolecule catabolic process [GO:0016998]; cell wall organization [GO:0071555]; peptidoglycan catabolic process [GO:0009253]	cell outer membrane [GO:0009279]	cell outer membrane [GO:0009279]; peptidoglycan lytic transglycosylase activity [GO:0008933]; cell wall macromolecule catabolic process [GO:0016998]; cell wall organization [GO:0071555]; peptidoglycan catabolic process [GO:0009253]	peptidoglycan lytic transglycosylase activity [GO:0008933]	GO:0008933; GO:0009253; GO:0009279; GO:0016998; GO:0071555
B1XB40	ERA_ECODH	GTPase Era	era ECDH10B_2734	Escherichia coli (strain K12 / DH10B)	301	era	33810	3.0	reviewed	ribosomal small subunit assembly [GO:0000028]	cytosol [GO:0005829]; plasma membrane [GO:0005886]	cytosol [GO:0005829]; plasma membrane [GO:0005886]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosomal small subunit binding [GO:0043024]; small ribosomal subunit rRNA binding [GO:0070181]; ribosomal small subunit assembly [GO:0000028]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosomal small subunit binding [GO:0043024]; small ribosomal subunit rRNA binding [GO:0070181]	GO:0000028; GO:0003924; GO:0005525; GO:0005829; GO:0005886; GO:0043024; GO:0070181
B1XB41	RNC_ECODH	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc ECDH10B_2735	Escherichia coli (strain K12 / DH10B)	226	rnc	25550	3.0	reviewed	mRNA processing [GO:0006397]; regulation of gene expression [GO:0010468]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; ribonuclease III activity [GO:0004525]; rRNA binding [GO:0019843]; mRNA processing [GO:0006397]; regulation of gene expression [GO:0010468]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]	double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; ribonuclease III activity [GO:0004525]; rRNA binding [GO:0019843]	GO:0003725; GO:0004525; GO:0005737; GO:0006364; GO:0006397; GO:0008033; GO:0010468; GO:0019843; GO:0046872
B1XB43	LEPA_ECODH	Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA)	lepA ECDH10B_2737	Escherichia coli (strain K12 / DH10B)	599	lepA	66570	3.0	reviewed	positive regulation of translation [GO:0045727]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; guanosine tetraphosphate binding [GO:0097216]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]; positive regulation of translation [GO:0045727]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; guanosine tetraphosphate binding [GO:0097216]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]	GO:0003746; GO:0003924; GO:0005525; GO:0005886; GO:0043022; GO:0045727; GO:0097216
B1XB55	DTD_ECODH	D-aminoacyl-tRNA deacylase (DTD) (EC 3.1.1.96) (Gly-tRNA(Ala) deacylase)	dtd ECDH10B_4077	Escherichia coli (strain K12 / DH10B)	145	dtd	15950	3.0	reviewed	D-amino acid catabolic process [GO:0019478]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; D-tyrosyl-tRNA(Tyr) deacylase activity [GO:0051500]; Gly-tRNA(Ala) deacylase activity [GO:0106026]; Ser(Gly)-tRNA(Ala) hydrolase activity [GO:0043908]; tRNA binding [GO:0000049]; D-amino acid catabolic process [GO:0019478]	D-tyrosyl-tRNA(Tyr) deacylase activity [GO:0051500]; Gly-tRNA(Ala) deacylase activity [GO:0106026]; Ser(Gly)-tRNA(Ala) hydrolase activity [GO:0043908]; tRNA binding [GO:0000049]	GO:0000049; GO:0005737; GO:0019478; GO:0043908; GO:0051500; GO:0106026
B1XB68	RHAM_ECODH	L-rhamnose mutarotase (EC 5.1.3.32) (Rhamnose 1-epimerase) (Type-3 mutarotase)	rhaM ECDH10B_4091	Escherichia coli (strain K12 / DH10B)	104	rhaM	12265	3.0	reviewed	rhamnose catabolic process [GO:0019301]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; L-rhamnose mutarotase activity [GO:0062192]; rhamnose catabolic process [GO:0019301]	L-rhamnose mutarotase activity [GO:0062192]	GO:0005737; GO:0019301; GO:0062192
B1XB69	RHAD_ECODH	Rhamnulose-1-phosphate aldolase (EC 4.1.2.19)	rhaD ECDH10B_4092	Escherichia coli (strain K12 / DH10B)	274	rhaD	30145	3.0	reviewed	pentose catabolic process [GO:0019323]; rhamnose catabolic process [GO:0019301]	cytosol [GO:0005829]	cytosol [GO:0005829]; metal ion binding [GO:0046872]; rhamnulose-1-phosphate aldolase activity [GO:0008994]; pentose catabolic process [GO:0019323]; rhamnose catabolic process [GO:0019301]	metal ion binding [GO:0046872]; rhamnulose-1-phosphate aldolase activity [GO:0008994]	GO:0005829; GO:0008994; GO:0019301; GO:0019323; GO:0046872
B1XB70	RHAA_ECODH	L-rhamnose isomerase (EC 5.3.1.14)	rhaA ECDH10B_4093	Escherichia coli (strain K12 / DH10B)	419	rhaA	47199	3.0	reviewed	L-lyxose metabolic process [GO:0019324]; rhamnose catabolic process [GO:0019301]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; L-rhamnose isomerase activity [GO:0008740]; manganese ion binding [GO:0030145]; L-lyxose metabolic process [GO:0019324]; rhamnose catabolic process [GO:0019301]	L-rhamnose isomerase activity [GO:0008740]; manganese ion binding [GO:0030145]	GO:0005737; GO:0008740; GO:0019301; GO:0019324; GO:0030145
B1XB71	RHAB_ECODH	Rhamnulokinase (RhaB) (EC 2.7.1.5) (ATP:L-rhamnulose phosphotransferase) (L-rhamnulose 1-kinase) (Rhamnulose kinase)	rhaB ECDH10B_4094	Escherichia coli (strain K12 / DH10B)	489	rhaB	54069	3.0	reviewed	glycerol metabolic process [GO:0006071]; rhamnose catabolic process [GO:0019301]	cytosol [GO:0005829]	cytosol [GO:0005829]; ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]; rhamnulokinase activity [GO:0008993]; glycerol metabolic process [GO:0006071]; rhamnose catabolic process [GO:0019301]	ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]; rhamnulokinase activity [GO:0008993]	GO:0004370; GO:0005524; GO:0005829; GO:0006071; GO:0008993; GO:0019301
B1XB81	FIEF_ECODH	Cation-efflux pump FieF	fieF ECDH10B_4104	Escherichia coli (strain K12 / DH10B)	300	fieF	32927	3.0	reviewed	intracellular zinc ion homeostasis [GO:0006882]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; cadmium ion transmembrane transporter activity [GO:0015086]; ferrous iron transmembrane transporter activity [GO:0015093]; metal ion binding [GO:0046872]; zinc efflux antiporter activity [GO:0015341]; intracellular zinc ion homeostasis [GO:0006882]	cadmium ion transmembrane transporter activity [GO:0015086]; ferrous iron transmembrane transporter activity [GO:0015093]; metal ion binding [GO:0046872]; zinc efflux antiporter activity [GO:0015341]	GO:0005886; GO:0006882; GO:0015086; GO:0015093; GO:0015341; GO:0046872
B1XB92	GLPK_ECODH	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	glpK ECDH10B_4115	Escherichia coli (strain K12 / DH10B)	502	glpK	56231	3.0	reviewed	glycerol catabolic process [GO:0019563]; glycerol metabolic process [GO:0006071]; glycerol-3-phosphate metabolic process [GO:0006072]	cytosol [GO:0005829]	cytosol [GO:0005829]; ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]; metal ion binding [GO:0046872]; glycerol catabolic process [GO:0019563]; glycerol metabolic process [GO:0006071]; glycerol-3-phosphate metabolic process [GO:0006072]	ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]; metal ion binding [GO:0046872]	GO:0004370; GO:0005524; GO:0005829; GO:0006071; GO:0006072; GO:0019563; GO:0046872
B1XB97	HSLU_ECODH	ATP-dependent protease ATPase subunit HslU (Heat shock protein HslU) (Unfoldase HslU)	hslU ECDH10B_4120	Escherichia coli (strain K12 / DH10B)	443	hslU	49594	3.0	reviewed	protein unfolding [GO:0043335]; proteolysis involved in protein catabolic process [GO:0051603]	HslUV protease complex [GO:0009376]	HslUV protease complex [GO:0009376]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; peptidase activity [GO:0008233]; proteasome-activating activity [GO:0036402]; protein unfolding [GO:0043335]; proteolysis involved in protein catabolic process [GO:0051603]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; peptidase activity [GO:0008233]; proteasome-activating activity [GO:0036402]	GO:0005524; GO:0008233; GO:0009376; GO:0016887; GO:0036402; GO:0043335; GO:0051603
B1XB98	HSLV_ECODH	ATP-dependent protease subunit HslV (EC 3.4.25.2) (Heat shock protein HslV)	hslV ECDH10B_4121	Escherichia coli (strain K12 / DH10B)	176	hslV	19093	3.0	reviewed	proteolysis involved in protein catabolic process [GO:0051603]	HslUV protease complex [GO:0009376]; proteasome core complex [GO:0005839]	HslUV protease complex [GO:0009376]; proteasome core complex [GO:0005839]; metal ion binding [GO:0046872]; threonine-type endopeptidase activity [GO:0004298]; proteolysis involved in protein catabolic process [GO:0051603]	metal ion binding [GO:0046872]; threonine-type endopeptidase activity [GO:0004298]	GO:0004298; GO:0005839; GO:0009376; GO:0046872; GO:0051603
B1XBA8	KATG_ECODH	Catalase-peroxidase (CP) (EC 1.11.1.21) (Peroxidase/catalase)	katG ECDH10B_4131	Escherichia coli (strain K12 / DH10B)	726	katG	80024	3.0	reviewed	cellular response to hydrogen peroxide [GO:0070301]; hydrogen peroxide catabolic process [GO:0042744]	cytosol [GO:0005829]	cytosol [GO:0005829]; catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; cellular response to hydrogen peroxide [GO:0070301]; hydrogen peroxide catabolic process [GO:0042744]	catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	GO:0004096; GO:0005829; GO:0020037; GO:0042744; GO:0046872; GO:0070301
B1XBC2	ARGE_ECODH	Acetylornithine deacetylase (AO) (Acetylornithinase) (EC 3.5.1.16) (N-acetylornithinase) (NAO)	argE ECDH10B_4145	Escherichia coli (strain K12 / DH10B)	383	argE	42347	3.0	reviewed	L-arginine biosynthetic process [GO:0006526]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; acetylornithine deacetylase activity [GO:0008777]; zinc ion binding [GO:0008270]; L-arginine biosynthetic process [GO:0006526]	acetylornithine deacetylase activity [GO:0008777]; zinc ion binding [GO:0008270]	GO:0005737; GO:0006526; GO:0008270; GO:0008777
B1XBC4	ARGB_ECODH	Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK)	argB ECDH10B_4147	Escherichia coli (strain K12 / DH10B)	257	argB	27028	3.0	reviewed	arginine biosynthetic process via ornithine [GO:0042450]; L-arginine biosynthetic process [GO:0006526]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; acetylglutamate kinase activity [GO:0003991]; ATP binding [GO:0005524]; arginine biosynthetic process via ornithine [GO:0042450]; L-arginine biosynthetic process [GO:0006526]	acetylglutamate kinase activity [GO:0003991]; ATP binding [GO:0005524]	GO:0003991; GO:0005524; GO:0005737; GO:0006526; GO:0042450
B1XBE0	DNAJ_ECODH	Chaperone protein DnaJ	dnaJ ECDH10B_0015	Escherichia coli (strain K12 / DH10B)	376	dnaJ	41100	3.0	reviewed	chaperone cofactor-dependent protein refolding [GO:0051085]; DNA replication [GO:0006260]; protein refolding [GO:0042026]; response to heat [GO:0009408]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270]; chaperone cofactor-dependent protein refolding [GO:0051085]; DNA replication [GO:0006260]; protein refolding [GO:0042026]; response to heat [GO:0009408]	ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270]	GO:0005524; GO:0005737; GO:0006260; GO:0008270; GO:0009408; GO:0031072; GO:0042026; GO:0051082; GO:0051085
B1XBF1	SYI_ECODH	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS ECDH10B_0027	Escherichia coli (strain K12 / DH10B)	938	ileS	104297	3.0	reviewed	isoleucyl-tRNA aminoacylation [GO:0006428]	cytosol [GO:0005829]	cytosol [GO:0005829]; aminoacyl-tRNA deacylase activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; isoleucyl-tRNA aminoacylation [GO:0006428]	aminoacyl-tRNA deacylase activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]	GO:0000049; GO:0002161; GO:0004822; GO:0005524; GO:0005829; GO:0006428; GO:0008270
B1XBF2	LSPA_ECODH	Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)	lspA ECDH10B_0028	Escherichia coli (strain K12 / DH10B)	164	lspA	18156	3.0	reviewed	proteolysis [GO:0006508]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; aspartic-type endopeptidase activity [GO:0004190]; proteolysis [GO:0006508]	aspartic-type endopeptidase activity [GO:0004190]	GO:0004190; GO:0005886; GO:0006508
B1XBF4	ISPH_ECODH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (HMBPP reductase) (EC 1.17.7.4)	ispH ECDH10B_0030	Escherichia coli (strain K12 / DH10B)	316	ispH	34775	3.0	reviewed	dimethylallyl diphosphate biosynthetic process [GO:0050992]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]		4 iron, 4 sulfur cluster binding [GO:0051539]; 4-hydroxy-3-methylbut-2-enyl diphosphate reductase activity [GO:0051745]; metal ion binding [GO:0046872]; dimethylallyl diphosphate biosynthetic process [GO:0050992]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]	4 iron, 4 sulfur cluster binding [GO:0051539]; 4-hydroxy-3-methylbut-2-enyl diphosphate reductase activity [GO:0051745]; metal ion binding [GO:0046872]	GO:0016114; GO:0019288; GO:0046872; GO:0050992; GO:0051539; GO:0051745
B1XBF6	DAPB_ECODH	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	dapB ECDH10B_0032	Escherichia coli (strain K12 / DH10B)	273	dapB	28757	3.0	reviewed	diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]	cytosol [GO:0005829]	cytosol [GO:0005829]; 4-hydroxy-tetrahydrodipicolinate reductase [GO:0008839]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor [GO:0016726]; diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]	4-hydroxy-tetrahydrodipicolinate reductase [GO:0008839]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor [GO:0016726]	GO:0005829; GO:0008839; GO:0009089; GO:0016726; GO:0019877; GO:0050661; GO:0051287
B1XBG2	CAIC_ECODH	Crotonobetaine/carnitine--CoA ligase (EC 6.2.1.48)	caiC ECDH10B_0038	Escherichia coli (strain K12 / DH10B)	517	caiC	58559	3.0	reviewed	carnitine metabolic process [GO:0009437]; fatty acid metabolic process [GO:0006631]		carnitine-CoA ligase activity [GO:0051108]; crotonobetaine-CoA ligase activity [GO:0051109]; medium-chain fatty acid-CoA ligase activity [GO:0031956]; carnitine metabolic process [GO:0009437]; fatty acid metabolic process [GO:0006631]	carnitine-CoA ligase activity [GO:0051108]; crotonobetaine-CoA ligase activity [GO:0051109]; medium-chain fatty acid-CoA ligase activity [GO:0031956]	GO:0006631; GO:0009437; GO:0031956; GO:0051108; GO:0051109
B1XBG3	CAIB_ECODH	L-carnitine CoA-transferase (EC 2.8.3.21) (Crotonobetainyl-CoA:carnitine CoA-transferase)	caiB ECDH10B_0039	Escherichia coli (strain K12 / DH10B)	405	caiB	45127	3.0	reviewed	carnitine metabolic process [GO:0009437]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; L-carnitine CoA-transferase activity [GO:0008735]; carnitine metabolic process [GO:0009437]	L-carnitine CoA-transferase activity [GO:0008735]	GO:0005737; GO:0008735; GO:0009437
B1XBJ5	MHPB_ECODH	2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase (EC 1.13.11.16) (3-carboxyethylcatechol 2,3-dioxygenase)	mhpB ECDH10B_1360	Escherichia coli (strain K12 / DH10B)	314	mhpB	34196	3.0	reviewed	3-phenylpropionate catabolic process [GO:0019380]		3-carboxyethylcatechol 2,3-dioxygenase activity [GO:0047070]; ferrous iron binding [GO:0008198]; 3-phenylpropionate catabolic process [GO:0019380]	3-carboxyethylcatechol 2,3-dioxygenase activity [GO:0047070]; ferrous iron binding [GO:0008198]	GO:0008198; GO:0019380; GO:0047070
B1XBJ6	MHPC_ECODH	2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase (EC 3.7.1.14) (2-hydroxy-6-ketonona-2,4-diene-1,9-dioic acid 5,6-hydrolase) (2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioic acid 5,6-hydrolase) (2-hydroxy-6-oxonona-2,4-diene-1,9-dioic acid 5,6-hydrolase)	mhpC ECDH10B_1361	Escherichia coli (strain K12 / DH10B)	288	mhpC	31937	3.0	reviewed	3-phenylpropionate catabolic process [GO:0019380]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; 2-hydroxy-6-oxonona-2,4,7-trienedioate hydrolase activity [GO:0052823]; 2-hydroxy-6-oxonona-2,4-dienedioate hydrolase activity [GO:0018771]; protein homodimerization activity [GO:0042803]; 3-phenylpropionate catabolic process [GO:0019380]	2-hydroxy-6-oxonona-2,4,7-trienedioate hydrolase activity [GO:0052823]; 2-hydroxy-6-oxonona-2,4-dienedioate hydrolase activity [GO:0018771]; protein homodimerization activity [GO:0042803]	GO:0005737; GO:0018771; GO:0019380; GO:0042803; GO:0052823
B1XBM8	RIBA_ECODH	GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)	ribA ECDH10B_1394	Escherichia coli (strain K12 / DH10B)	196	ribA	21836	3.0	reviewed	riboflavin biosynthetic process [GO:0009231]	cytosol [GO:0005829]	cytosol [GO:0005829]; GTP binding [GO:0005525]; GTP cyclohydrolase II activity [GO:0003935]; zinc ion binding [GO:0008270]; riboflavin biosynthetic process [GO:0009231]	GTP binding [GO:0005525]; GTP cyclohydrolase II activity [GO:0003935]; zinc ion binding [GO:0008270]	GO:0003935; GO:0005525; GO:0005829; GO:0008270; GO:0009231
B1XBN2	PYRF_ECODH	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	pyrF ECDH10B_1398	Escherichia coli (strain K12 / DH10B)	245	pyrF	26350	3.0	reviewed	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]	cytosol [GO:0005829]	cytosol [GO:0005829]; orotidine-5'-phosphate decarboxylase activity [GO:0004590]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]	orotidine-5'-phosphate decarboxylase activity [GO:0004590]	GO:0004590; GO:0005829; GO:0006207; GO:0044205
B1XBT5	NADK_ECODH	NAD kinase (EC 2.7.1.23) (ATP-dependent NAD kinase)	nadK ECDH10B_2781	Escherichia coli (strain K12 / DH10B)	292	nadK	32566	3.0	reviewed	NAD metabolic process [GO:0019674]; NADP biosynthetic process [GO:0006741]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; NAD+ kinase activity [GO:0003951]; NAD metabolic process [GO:0019674]; NADP biosynthetic process [GO:0006741]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; NAD+ kinase activity [GO:0003951]	GO:0003951; GO:0005524; GO:0005737; GO:0006741; GO:0019674; GO:0046872; GO:0051287
B1XBX3	STHA_ECODH	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	sthA udhA ECDH10B_4151	Escherichia coli (strain K12 / DH10B)	466	sthA	51560	3.0	reviewed	2-oxoglutarate metabolic process [GO:0006103]; NADP metabolic process [GO:0006739]	cytosol [GO:0005829]	cytosol [GO:0005829]; dihydrolipoyl dehydrogenase (NADH) activity [GO:0004148]; flavin adenine dinucleotide binding [GO:0050660]; NAD(P)+ transhydrogenase (Si-specific) activity [GO:0003957]; 2-oxoglutarate metabolic process [GO:0006103]; NADP metabolic process [GO:0006739]	dihydrolipoyl dehydrogenase (NADH) activity [GO:0004148]; flavin adenine dinucleotide binding [GO:0050660]; NAD(P)+ transhydrogenase (Si-specific) activity [GO:0003957]	GO:0003957; GO:0004148; GO:0005829; GO:0006103; GO:0006739; GO:0050660
B1XBX6	TRMA_ECODH	tRNA/tmRNA (uracil-C(5))-methyltransferase (EC 2.1.1.-) (EC 2.1.1.35) (tRNA (uracil(54)-C(5))-methyltransferase) (tRNA(m5U54)-methyltransferase) (RUMT) (tmRNA (uracil(341)-C(5))-methyltransferase)	trmA ECDH10B_4154	Escherichia coli (strain K12 / DH10B)	366	trmA	41967	3.0	reviewed	tRNA methylation [GO:0030488]	cytosol [GO:0005829]	cytosol [GO:0005829]; rRNA binding [GO:0019843]; tRNA (uracil(54)-C5)-methyltransferase activity, S-adenosyl methionine-dependent [GO:0030697]; tRNA binding [GO:0000049]; tRNA methylation [GO:0030488]	rRNA binding [GO:0019843]; tRNA (uracil(54)-C5)-methyltransferase activity, S-adenosyl methionine-dependent [GO:0030697]; tRNA binding [GO:0000049]	GO:0000049; GO:0005829; GO:0019843; GO:0030488; GO:0030697
B1XBY9	RPOB_ECODH	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB ECDH10B_4175	Escherichia coli (strain K12 / DH10B)	1342	rpoB	150632	3.0	reviewed	DNA-templated transcription [GO:0006351]	DNA-directed RNA polymerase complex [GO:0000428]	DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]; DNA-templated transcription [GO:0006351]	DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]	GO:0000428; GO:0003677; GO:0003899; GO:0006351; GO:0032549
B1XBZ0	RPOC_ECODH	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC ECDH10B_4176	Escherichia coli (strain K12 / DH10B)	1407	rpoC	155160	3.0	reviewed	DNA-templated transcription [GO:0006351]	DNA-directed RNA polymerase complex [GO:0000428]	DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]	DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]	GO:0000287; GO:0000428; GO:0003677; GO:0003899; GO:0006351; GO:0008270
B1XBZ3	THIG_ECODH	Thiazole synthase (EC 2.8.1.10)	thiG ECDH10B_4179	Escherichia coli (strain K12 / DH10B)	256	thiG	26896	3.0	reviewed	thiamine diphosphate biosynthetic process [GO:0009229]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; thiazole synthase activity [GO:1990107]; thiamine diphosphate biosynthetic process [GO:0009229]	thiazole synthase activity [GO:1990107]	GO:0005737; GO:0009229; GO:1990107
